Date,Clicks,Impressions,CTR,Position
2026-03-14,0,0,,
2026-03-15,2,13,15.38%,4.3
2026-03-16,11,248,4.44%,7.5
2026-03-17,9,406,2.22%,7.6
2026-03-18,9,534,1.69%,8.2
2026-03-19,9,503,1.79%,9.6
2026-03-20,2,242,0.83%,9.4
2026-03-21,5,61,8.2%,13
2026-03-22,3,24,12.5%,12.2
2026-03-23,3,38,7.89%,22.8
2026-03-24,1,33,3.03%,17.5
2026-03-25,1,29,3.45%,22.5
2026-03-26,4,38,10.53%,17
2026-03-27,2,45,4.44%,13.7
2026-03-28,3,42,7.14%,20.1
2026-03-29,3,25,12%,14.1
2026-03-30,2,33,6.06%,22
2026-03-31,1,46,2.17%,8.8
2026-04-01,2,12,16.67%,20.5
2026-04-02,4,51,7.84%,10.1
2026-04-03,2,23,8.7%,12.1
2026-04-04,3,35,8.57%,9
2026-04-05,5,28,17.86%,17.2
2026-04-06,1,24,4.17%,13.8
2026-04-07,0,23,0%,13.8
2026-04-08,0,24,0%,19.3
2026-04-09,0,24,0%,25.5
2026-04-10,3,34,8.82%,21.9
2026-04-11,2,33,6.06%,13.5
2026-04-12,3,36,8.33%,11.2
2026-04-13,2,21,9.52%,16
2026-04-14,0,17,0%,15.6
2026-04-15,2,32,6.25%,21.2
2026-04-16,0,34,0%,12.6
2026-04-17,2,31,6.45%,15.5
2026-04-18,2,36,5.56%,10.9
2026-04-19,1,33,3.03%,14.7
2026-04-20,2,21,9.52%,12.4
2026-04-21,2,27,7.41%,15.6
2026-04-22,2,26,7.69%,16
2026-04-23,2,44,4.55%,23.9
2026-04-24,0,33,0%,18.1
2026-04-25,4,60,6.67%,10.3
2026-04-26,2,25,8%,15.7
2026-04-27,2,24,8.33%,11.7
2026-04-28,0,14,0%,14.8
2026-04-29,4,25,16%,15
2026-04-30,0,36,0%,16.4
2026-05-01,6,56,10.71%,14.7
2026-05-02,4,48,8.33%,9.7
2026-05-03,5,49,10.2%,11
2026-05-04,2,22,9.09%,17.2
2026-05-05,1,19,5.26%,16.4
2026-05-06,1,22,4.55%,19.3
2026-05-07,1,20,5%,21.2
2026-05-08,1,39,2.56%,13.1
2026-05-09,5,28,17.86%,7
2026-05-10,3,24,12.5%,18.7
2026-05-11,1,14,7.14%,21.4
2026-05-12,1,22,4.55%,20.1
2026-05-13,0,18,0%,30.6
2026-05-14,3,26,11.54%,30.2
2026-05-15,5,43,11.63%,19.7
2026-05-16,15,75,20%,11
2026-05-17,10,70,14.29%,11.1
2026-05-18,6,102,5.88%,24.5
2026-05-19,3,75,4%,19.4
2026-05-20,5,77,6.49%,26.1
2026-05-21,5,82,6.1%,20.5
2026-05-22,8,70,11.43%,19.3
2026-05-23,7,64,10.94%,15.4
2026-05-24,15,99,15.15%,7.6
2026-05-25,5,64,7.81%,12.1
2026-05-26,7,77,9.09%,15.2
2026-05-27,3,57,5.26%,16.2
2026-05-28,15,130,11.54%,14.3
2026-05-29,8,117,6.84%,13.9
2026-05-30,19,172,11.05%,11.4
2026-05-31,2,78,2.56%,9.3
2026-06-01,12,107,11.21%,8.4
2026-06-02,7,73,9.59%,9.1
2026-06-03,3,97,3.09%,12.8
2026-06-04,6,94,6.38%,15.3
2026-06-05,12,108,11.11%,13.8
2026-06-06,12,188,6.38%,11.9
2026-06-07,10,129,7.75%,7.8
2026-06-08,10,107,9.35%,9.9
2026-06-09,10,86,11.63%,9.4
2026-06-10,5,126,3.97%,13.9
2026-06-11,8,102,7.84%,16.1
2026-06-12,23,155,14.84%,10.5
2026-06-13,22,205,10.73%,7.8
2026-06-14,16,125,12.8%,9
2026-06-15,6,93,6.45%,12.4
2026-06-16,7,79,8.86%,9.8
2026-06-17,6,100,6%,17.5
2026-06-18,7,98,7.14%,18
2026-06-19,28,231,12.12%,12.6
2026-06-20,8,143,5.59%,15.9
2026-06-21,8,130,6.15%,13.8
2026-06-22,5,139,3.6%,19.9
2026-06-23,6,123,4.88%,13.3
2026-06-24,9,151,5.96%,15.4
2026-06-25,11,178,6.18%,16.4
2026-06-26,9,145,6.21%,15.9
2026-06-27,2,18,11.11%,30.6
2026-06-28,2,14,14.29%,35.7
2026-06-29,3,28,10.71%,34
2026-06-30,0,10,0%,57.7
2026-07-01,2,18,11.11%,30.2
2026-07-02,1,18,5.56%,43.1
2026-07-03,2,23,8.7%,33.4
2026-07-04,7,39,17.95%,18.1
2026-07-05,4,30,13.33%,18
2026-07-06,3,20,15%,24.9
2026-07-07,1,9,11.11%,47.3
2026-07-08,1,25,4%,23.4
2026-07-09,5,21,23.81%,31.8
2026-07-10,1,28,3.57%,32.5
2026-07-11,4,25,16%,17.4
