Country,Clicks,Impressions,CTR,Position
United Kingdom,568,7547,7.53%,13.66
Cameroon,12,74,16.22%,7.81
United States,7,408,1.72%,9.84
Ireland,2,31,6.45%,8.45
Italy,2,24,8.33%,23.88
Netherlands,1,63,1.59%,15.16
Australia,1,48,2.08%,40.21
Spain,1,43,2.33%,9.09
Germany,1,37,2.7%,8.51
Sweden,1,17,5.88%,6.35
Portugal,1,12,8.33%,4
South Korea,1,10,10%,26.9
South Africa,1,3,33.33%,4.67
Colombia,1,3,33.33%,16.67
France,0,36,0%,12.42
Canada,0,32,0%,14
India,0,24,0%,18
Brazil,0,22,0%,10.45
Thailand,0,21,0%,7.19
New Zealand,0,14,0%,15.79
Norway,0,12,0%,4.58
Belgium,0,11,0%,9.64
Japan,0,11,0%,13.82
Singapore,0,11,0%,16.73
Poland,0,10,0%,11.2
Philippines,0,10,0%,23.1
Egypt,0,9,0%,6.89
Greece,0,9,0%,8.33
Bulgaria,0,9,0%,8.78
Mexico,0,9,0%,17.11
Albania,0,8,0%,9.88
United Arab Emirates,0,8,0%,11.12
Switzerland,0,7,0%,4.29
China,0,7,0%,7.86
Ghana,0,7,0%,8.14
Russia,0,6,0%,3.67
Denmark,0,6,0%,3.83
Finland,0,6,0%,4.5
Argentina,0,6,0%,23.67
Vietnam,0,6,0%,24.17
Indonesia,0,6,0%,28.67
Dominican Republic,0,5,0%,5.6
Nigeria,0,5,0%,10
Lithuania,0,5,0%,12.8
Saudi Arabia,0,5,0%,14.8
Pakistan,0,5,0%,24.4
Austria,0,4,0%,4.5
Israel,0,4,0%,9.75
Romania,0,4,0%,11.25
Ecuador,0,4,0%,31
Georgia,0,3,0%,7
Turkey,0,3,0%,7.33
Malaysia,0,3,0%,10.67
Croatia,0,2,0%,2
Chile,0,2,0%,4
Morocco,0,2,0%,5
Luxembourg,0,2,0%,6.5
Hong Kong,0,2,0%,7
Uganda,0,2,0%,8.5
Libya,0,2,0%,12
Bahamas,0,1,0%,1
Bosnia & Herzegovina,0,1,0%,1
Trinidad & Tobago,0,1,0%,1
Uzbekistan,0,1,0%,1
Venezuela,0,1,0%,1
Estonia,0,1,0%,3
Iraq,0,1,0%,3
Slovakia,0,1,0%,3
Hungary,0,1,0%,4
Palestine,0,1,0%,4
Kenya,0,1,0%,5
Mauritius,0,1,0%,5
Algeria,0,1,0%,6
Jamaica,0,1,0%,7
Somalia,0,1,0%,7
Turks & Caicos Islands,0,1,0%,7
Djibouti,0,1,0%,8
Namibia,0,1,0%,8
Belize,0,1,0%,9
Bolivia,0,1,0%,9
Mongolia,0,1,0%,9
Czechia,0,1,0%,10
Paraguay,0,1,0%,10
Uruguay,0,1,0%,10
Iceland,0,1,0%,11
Suriname,0,1,0%,11
Ukraine,0,1,0%,11
Iran,0,1,0%,19
Serbia,0,1,0%,32
Honduras,0,1,0%,33
Malta,0,1,0%,37
Bangladesh,0,1,0%,42
Andorra,0,1,0%,43
Jordan,0,1,0%,44
Taiwan,0,1,0%,66
Cambodia,0,1,0%,80
